,condition,distance_between_original_user_in_percentage
X84KP3PBCpbOocVX3vU4,Calibration,2.928342083123299
XGIhlPi3MQ0taq3ZUSxQ,Calibration,0.7987220447284393
XLqy78J4OebE4lKcCdCw,Calibration,6.929526608736364
XdvvTLWmz45g3l6zlCOE,Calibration,7.529584829398879
YQPtg5zPF6TXCAy7VsNq,Calibration,5.825225954197942
YcAeOttBNAdMATkaTSH9,Calibration,2.1286439941337028
Yf2PPm1oMevZdhv1uqKQ,Calibration,1.674452849720149
YhmUoZaeFVrKuhyEJNpl,Calibration,0.33086401255125
Z2oAybc9RkCsadq8JZ0L,Calibration,0.31023784901758056
Z4fCD2zV0LTO2Bm5RE3v,Calibration,3.7253879115731774
ZEiaz4M8YZFtlK6vswv8,Calibration,3.439172465205082
ZHZWB060gG75vflmwHWZ,Calibration,1.6023742911223855
ZVp4tr1WMEnwtSLCpter,Calibration,2.63823095336863
Zh6JM8B4ooPg8gKjw13L,Calibration,1.0246764353895648
a4s6tz2PkK3Gy3rdMU5y,Calibration,1.66563103025377
aCLjNYq1mrizbpA5XpNq,Calibration,0.8273009307135482
aRtzQxbnMvWi0pYvsJXT,Calibration,1.8315482160205108
atzziEn0CcGmJqnhdEEo,Calibration,2.943717440724637
b7Apmx8K6ZUGF9xMLLLa,Calibration,0.6248009447669096
bJIdtx2Z3PSz31OTgsWH,Calibration,2.4598558145402034
bOcfrB51TCx2soLfdpiq,Calibration,2.843595321433177
bSrN3WljpgbUEw0qVFCC,Calibration,0.7253559634396153
bURywfkCa5okdy7qrjR3,Calibration,7.972071159135223
cKx7ij3vHzhvq4FN10UB,Calibration,6.929526608736364
cmweCdWr7mH8UeOXY5o7,Calibration,0.5085738249052348
cvoaWZvC1l7xCTIHp42b,Calibration,2.305527372825659
d2cvSPT9dut9SqbKl4xY,Calibration,3.397118381056157
d9CU0beeLLaBypEdUhWT,Calibration,2.358490566037741
dYlVLRVaK0pjtofxuaGn,Calibration,1.060835302976883
dawqGiWUclI5KfYECWJy,Calibration,4.257287988267406
e2778xwHOGgrWSgpWk4I,Calibration,5.783769762581819
e756xrtXXJCyAJqwfxPL,Calibration,0.8612324783479166
eEa1Vucc4AHpGKi9yOz6,Calibration,0.14670478288526195
eSRDrNYxJ7ItzafRtH3z,Calibration,5.767431585896586
fWGcsGEQ5Zm0ockpiaMg,Calibration,1.190015845991835
fcqehq54UBCPZxNCJWJw,Calibration,0.4638701922122586
fsLdqGgMVLp9nmfqcDbP,Calibration,1.7428431295561926
g5pnsWHRznEmKy6g7tJf,Calibration,1.4376996805111841
g8vdjqRd5JgZtL1v8Qqc,Calibration,3.569936188853917
gW5vVypiNLwEpPFoggBM,Calibration,0.8530763895294993
gdVA3HQEki50l5zMGML3,Calibration,0.5671447600943619
h29ZZ0IW1stpt9wIwXUs,Calibration,0.7763350451098024
h5UFexjl4iP0BTUPamHl,Calibration,3.948945222586686
h75JYCDCYneTRZhiHUCj,Calibration,2.4561249129565974
hDSvjdUCYUwa6zJXv05T,Calibration,3.580562532002725
hL0o3FYIu4LmtZXs0mcU,Calibration,1.3232605679868712
hQClbOrPm8D5q34P6qxH,Calibration,0.8785991600858684
hckysRlARO6L2B3k6To2,Calibration,5.661491506229079
hnKhBEYjXt0BauhXPhxC,Calibration,3.56557144513378
iTlo5yLZHnQu33QFvbTH,Calibration,1.8368646684950016
idb4PaMFyTBWO120aaqs,Calibration,0.33356439705880386
if0uu8LN4d75C26Rb956,Calibration,2.8704759963868045
jCXxV8cpw5snMbKylnyF,Calibration,2.998460141883881
jQaKDwQLFaDq6sSsuLdA,Calibration,3.2422523988646255
k1TbmDnf4RL43WVOksId,Calibration,1.687335835404145
kPx7iIxzMoYaXUn2IFyp,Calibration,2.892017938002763
kVrvjkwdvgeh6G1khZp2,Calibration,1.3622293441728488
kWdbC4sz0L4SgBZIUh8j,Calibration,1.2035176635258948
l9xYL6vmexebLoCQwN7V,Calibration,6.115073475225899
lLjIemlwfBCvGOmQKF0w,Calibration,3.160187329422203
lab7r1f7YMHHP9aSd1rM,Calibration,0.11559733218943395
lcz21jVgGgi7wtmYs2Wd,Calibration,0.8074131573190568
lf4D076sVdDn7mlEb2ta,Calibration,1.4242809913276997
lgSrLdGkxZ0b9Py7KnJx,Calibration,1.9805353103429395
lkoPgf4ZKfRTkd2YBSeE,Calibration,0.8147136446987909
mFYWVrYcRmYXD8jN2trl,Calibration,3.719388934614126
